Model,Task,Name,Dropout,WeightDecay,LearningRate,BatchSize,Epochs,Accuracy,Precision,Recall,F1,AUROC,AUPRC,Sensitivity,Specificity
"Fusion (Concat, Full)",edema,VD0.2_TD0.1_LR0.0002_WD0.1_BS16_EP20,0.2,0.1,0.0002,16,20,0.9333333333333333,0.9369054022591703,0.9278374829990802,0.9314285714285715,0.9805324727395657,0.9765587318625912,0.887459807073955,0.9682151589242054
"Fusion (Concat, Full)",effusion,VD0.2_TD0.1_LR0.0002_WD0.1_BS16_EP20,0.2,0.1,0.0002,16,20,0.9694444444444444,0.9700121270919233,0.9687896129230782,0.9693080357142858,0.9846551026766966,0.9805303255791605,0.9802890932982917,0.9572901325478645
"Fusion (Concat, Half)",edema,VD0.1_TD0.1_LR1e-05_WD0_BS16_EP20,0.1,0.0,1e-05,16,20,0.8555555555555555,0.85237533,0.85436992,0.8532627850000001,0.9340875321346866,0.9043302864299197,0.8456591639871383,0.863080684596577
"Fusion (Concat, Half)",effusion,VD0.1_TD0.1_LR1e-05_WD0_BS16_EP20,0.1,0.0,1e-05,16,20,0.8736111111111111,0.8731498849999999,0.8740712049999999,0.873405735,0.9439318885448915,0.9437763785506258,0.8657894736842106,0.8823529411764706
"Fusion (Concat, Half)",edema,VD0.1_TD0.1_LR1e-05_WD0.01_BS16_EP20,0.1,0.01,1e-05,16,20,0.8555555555555555,0.8523753312643156,0.8543699242918577,0.85326278659612,0.9340718087406348,0.9044160503578071,0.8456591639871383,0.863080684596577
"Fusion (Concat, Half)",effusion,VD0.1_TD0.1_LR1e-05_WD0.01_BS16_EP20,0.1,0.01,1e-05,16,20,0.8736111111111111,0.8731498853450073,0.8740712074303405,0.8734057373169049,0.9438622291021672,0.94371441396487,0.8657894736842106,0.8823529411764706
"Fusion (Concat, Half)",edema,VD0.1_TD0.1_LR1e-05_WD0.1_BS16_EP20,0.1,0.1,1e-05,16,20,0.8555555555555555,0.8523753312643156,0.8543699242918577,0.85326278659612,0.9341032555287383,0.9046343044008788,0.8456591639871383,0.863080684596577
"Fusion (Concat, Half)",effusion,VD0.1_TD0.1_LR1e-05_WD0.1_BS16_EP20,0.1,0.1,1e-05,16,20,0.8722222222222222,0.8717374517374518,0.8726006191950464,0.872,0.9439705882352941,0.9437983498353566,0.8657894736842106,0.8794117647058823
"Fusion (Concat, Half)",edema,VD0.1_TD0.1_LR5e-05_WD0_BS16_EP20,0.1,0.0,5e-05,16,20,0.9,0.8989136875370334,0.8969567370812663,0.897869121170092,0.9615877483313547,0.9524637740121782,0.8745980707395499,0.9193154034229829
"Fusion (Concat, Half)",effusion,VD0.1_TD0.1_LR5e-05_WD0_BS16_EP20,0.1,0.0,5e-05,16,20,0.9569444444444445,0.9565366875014487,0.9573529411764705,0.9568538074775135,0.9858359133126935,0.988170504405074,0.95,0.9647058823529412
"Fusion (Concat, Half)",edema,VD0.1_TD0.1_LR5e-05_WD0.01_BS16_EP20,0.1,0.01,5e-05,16,20,0.9069444444444444,0.9058681443591929,0.9042248759817295,0.9050002855505512,0.968451009834983,0.9609784246486524,0.8842443729903537,0.9242053789731052
"Fusion (Concat, Half)",effusion,VD0.1_TD0.1_LR5e-05_WD0.01_BS16_EP20,0.1,0.01,5e-05,16,20,0.9527777777777777,0.9525201893622945,0.9527863777089782,0.9526458731497458,0.9857739938080495,0.9867851911068923,0.9526315789473684,0.9529411764705882
